year,burned_area_ha
2001,76977.85028976105
2002,48981.87720761641
2003,56097.45511608455
2004,441596.52496238356
2005,58045.68476511642
2006,73236.28229143994
2007,414728.8105476286
2008,148682.62618122544
2009,88700.62341082106
2010,65897.06661561274
2011,142252.59753783088
2012,57954.518622536765
2013,69294.56505827207
2014,146116.228770098
2015,36027.64940924632
2016,96255.97882524508
2017,84280.10141423406
2018,434684.49436949776
2019,25907.278760134806
2020,66994.89547524511
2021,66880.62103931372
2022,196152.93009166053
2023,17724.865343547794
2024,34414.63581656249
2025,22290.258328125
