year,coca_ha
2001,20516.35999999999
2002,16635.729999999872
2003,15072.280000000028
2004,9786.070000000038
2005,9035.309999999996
2006,9557.130000000021
2007,10378.689999999988
2008,6539.489999999936
2009,7409.320000000009
2010,3826.5799999999704
2011,4665.5679999999875
2012,3957.602500000005
2013,5096.962299999993
2014,8293.022100000002
2015,8341.682291159996
2016,10219.380000000003
2017,10320.15829106998
2018,8645.735628600003
2019,3905.8568326300024
2020,2906.57432365
2021,4484.259999999998
2022,6212.800677000004
2023,7593.213325820018
