version,step,order,model,ratio,buffer,tuned,sp_auc,sp_auc_sd,sp_pr,sp_pr_sd,sp_f1,sp_f1_sd,tm_auc,tm_pr,tm_f1,pr_baseline,sp_pr_lift,tm_pr_lift
baseline_comparison,baseline,0,Logistic Regression,2:1,3km,False,0.836,0.029,0.692,0.101,0.666,0.059,0.808,0.62,0.521,0.3333333333333333,0.35866666666666663,0.2866666666666667
train_rf,baseline,0,Random Forest,2:1,3km,False,0.875,0.022,0.769,0.067,0.709,0.06,0.817,0.563,0.549,0.3333333333333333,0.4356666666666667,0.22966666666666663
tune_rf,v1 tuned,1,Logistic Regression,2:1,3km,True,0.835,0.06,0.705,0.102,0.608,0.118,0.807,0.618,0.551,0.3333333333333333,0.37166666666666665,0.2846666666666667
tune_rf,v1 tuned,1,Random Forest,2:1,3km,True,0.877,0.04,0.783,0.066,0.684,0.072,0.816,0.558,0.561,0.3333333333333333,0.4496666666666667,0.22466666666666674
tune_v2,v2 leak-fix,2,Logistic Regression,2:1,3km,True,0.832,0.064,0.703,0.105,0.613,0.123,0.808,0.617,0.557,0.3333333333333333,0.36966666666666664,0.2836666666666667
tune_v2,v2 leak-fix,2,Random Forest,2:1,3km,True,0.877,0.041,0.779,0.067,0.68,0.074,0.819,0.569,0.56,0.3333333333333333,0.4456666666666667,0.23566666666666664
tune_v3,v3 (1:1),3,Logistic Regression,1:1,3km,True,0.846,0.032,0.823,0.06,0.754,0.079,0.81,0.747,0.663,0.5,0.32299999999999995,0.247
tune_v3,v3 (1:1),3,Random Forest,1:1,3km,True,0.878,0.027,0.866,0.036,0.79,0.047,0.817,0.704,0.684,0.5,0.366,0.20399999999999996
tune_v3,v3 (2:1),3,Logistic Regression,2:1,3km,True,0.832,0.064,0.703,0.105,0.613,0.123,0.808,0.617,0.557,0.3333333333333333,0.36966666666666664,0.2836666666666667
tune_v3,v3 (2:1),3,Random Forest,2:1,3km,True,0.877,0.041,0.779,0.067,0.68,0.074,0.819,0.569,0.56,0.3333333333333333,0.4456666666666667,0.23566666666666664
tune_v3,v3 (3:1),3,Logistic Regression,3:1,3km,True,0.831,0.051,0.618,0.113,0.504,0.167,0.806,0.542,0.486,0.25,0.368,0.29200000000000004
tune_v3,v3 (3:1),3,Random Forest,3:1,3km,True,0.873,0.032,0.702,0.067,0.603,0.098,0.817,0.492,0.493,0.25,0.45199999999999996,0.242
train_xgboost,XGB (1:1),4,XGBoost,1:1,3km,True,0.871,0.027,0.864,0.034,0.789,0.046,0.811,0.717,0.693,0.5,0.364,0.21699999999999997
xgboost_v2,XGB (2:1),4,XGBoost,2:1,3km,True,0.862,0.039,0.745,0.073,0.694,0.06,0.794,0.54,0.555,0.3333333333333333,0.4116666666666667,0.20666666666666672
v4_comparison_buffer_7_15km,v4 (7-15km),5,Logistic Regression,1:1,7-15km,True,0.773,0.062,0.761,0.095,0.709,0.06,0.741,0.739,0.655,0.5,0.261,0.239
v4_comparison_buffer_7_15km,v4 (7-15km),5,Random Forest,1:1,7-15km,True,0.798,0.051,0.8,0.073,0.72,0.047,0.734,0.71,0.656,0.5,0.30000000000000004,0.20999999999999996
v4_comparison_buffer_7_15km,v4 (7-15km),5,XGBoost,1:1,7-15km,True,0.796,0.045,0.791,0.072,0.724,0.042,0.73,0.709,0.652,0.5,0.29100000000000004,0.20899999999999996
