year,n_pres,n_abs_year,too_close,too_far,in_ring
2001,55,3411,302,2508,601
2002,31,3435,218,2667,550
2003,42,3424,218,2802,404
2004,287,3179,970,1157,1052
2005,27,3439,192,2839,408
2006,80,3386,482,1982,922
2007,296,3170,1007,1202,961
2008,93,3373,428,2177,768
2009,56,3410,365,2341,704
2010,55,3411,229,2781,401
2011,126,3340,538,2098,704
2012,37,3429,217,2703,509
2013,61,3405,322,2554,529
2014,110,3356,511,2063,782
2015,28,3438,189,2695,554
2016,73,3393,459,2172,762
2017,56,3410,395,2276,739
2018,296,3170,1023,1220,927
2019,19,3447,145,2993,309
2020,51,3415,345,2476,594
2021,25,3441,228,2642,571
2022,153,3313,577,2037,699
2023,10,3456,86,3128,242
2024,10,3456,76,3144,236
