model,fold,roc_auc,pr_auc,f1_at_0.5,f1_best,best_threshold
Logistic Regression,1,0.7889440483744541,0.7589469892052219,0.7338501291989664,0.7441314553990611,0.4114669344432964
Logistic Regression,2,0.7732431056681738,0.7753400622864257,0.7047619047619048,0.7358708189158015,0.3959304719091943
Logistic Regression,3,0.7115802569060359,0.6909755507249038,0.5562913907284768,0.6956521739130435,0.26859533000346575
Logistic Regression,4,0.7488804349454071,0.7445088251028694,0.6892950391644909,0.7325842696629215,0.40174204608103875
Logistic Regression,5,0.7299713930534546,0.7176368293207003,0.6629370629370629,0.7300469483568075,0.4011375630942624
Random Forest,1,0.8200515098353924,0.8148137540354905,0.7628865979381443,0.7628865979381444,0.5001570304480522
Random Forest,2,0.8096086474833069,0.8006014054890659,0.7486772486772487,0.7569528415961305,0.4237726718843589
Random Forest,3,0.7478903427911926,0.7472879093455616,0.6178343949044586,0.7029585798816568,0.30747031316636597
Random Forest,4,0.7795692482813366,0.7795844198559261,0.7208121827411168,0.7542735042735043,0.3115889523590932
Random Forest,5,0.7567061572333637,0.7277515283074552,0.6820809248554913,0.7331786542923434,0.36313352986882397
XGBoost,1,0.8382516516740698,0.8386367945035611,0.7662337662337663,0.7692307692307692,0.4194527864456177
XGBoost,2,0.7853474863011647,0.7743549903651228,0.6981132075471698,0.7388825541619156,0.28731879591941833
XGBoost,3,0.7484299353987739,0.7375021442502486,0.6401225114854517,0.7154471544715447,0.21610388159751892
XGBoost,4,0.7694744409663457,0.7656469121278109,0.7027027027027027,0.7499999999999999,0.2773778438568115
XGBoost,5,0.7241301840729703,0.7007370063632181,0.6312684365781711,0.7228144989339019,0.18467672169208527
