year,presence_share,absence_share,abs_diff
2001,0.026480500722195474,0.026480500722195474,0.0
2002,0.014925373134328358,0.014925373134328358,0.0
2003,0.020221473278767454,0.020221473278767454,0.0
2004,0.13818006740491093,0.13818006740491093,0.0
2005,0.012999518536350506,0.012999518536350506,0.0
2006,0.038517091959557055,0.038517091959557055,0.0
2007,0.1425132402503611,0.1425132402503611,0.0
2008,0.04477611940298507,0.04477611940298507,0.0
2009,0.026961964371689937,0.026961964371689937,0.0
2010,0.026480500722195474,0.026480500722195474,0.0
2011,0.06066441983630236,0.06066441983630236,0.0
2012,0.01781415503129514,0.01781415503129514,0.0
2013,0.029369282619162253,0.029369282619162253,0.0
2014,0.05296100144439095,0.05296100144439095,0.0
2015,0.013480982185844969,0.013480982185844969,0.0
2016,0.03514684641309581,0.03514684641309581,0.0
2017,0.026961964371689937,0.026961964371689937,0.0
2018,0.1425132402503611,0.1425132402503611,0.0
2019,0.0091478093403948,0.0091478093403948,0.0
2020,0.02455464612421762,0.02455464612421762,0.0
2021,0.01203659123736158,0.01203659123736158,0.0
2022,0.07366393837265287,0.07366393837265287,0.0
2023,0.004814636494944632,0.004814636494944632,0.0
2024,0.004814636494944632,0.004814636494944632,0.0
